,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
642,0.0105,6.400000000000006,-1.5688541669999998,1.5722985999999963,0.369617225,1
431,-0.015,-4.0,-3.0692083340000003,-6.092500000000001,0.196129032,1
702,0.0295999999999999,12.900000000000004,-5.390263888,10.556569400000017,-0.281318681,0
52,0.0173,11.699999999999989,-7.352736111,13.519750000000002,-0.222570533,0
883,-0.0099,4.400000000000006,-3.527958333,1.4445972000000042,-0.291666666,0
319,-0.0038,2.9000000000000057,-4.173506944,1.5070069000000077,-0.1762295079999999,0
1027,-0.0300999999999999,-11.299999999999995,0.8683541660000001,-7.337451399999992,0.307692307,1
661,0.0059,10.799999999999995,-4.236138888999999,4.701083299999978,-0.431818182,0
460,-0.0419,-1.4000000000000057,-1.642340277,1.8268403000000148,-0.135819845,0
866,-0.0052999999999999,5.200000000000003,-3.174472223,0.7921596999999991,0.070512821,1
129,0.0081,0.8000000000000114,0.2354236110000003,3.2560763999999978,-0.0374999999999999,0
637,-0.0157999999999999,-5.0,2.2538333340000007,-4.9244583999999785,0.054054054,0
1136,-0.015,-3.299999999999997,8.749604167000001,-5.059486100000001,0.0999999999999999,1
542,-0.0398999999999999,-9.199999999999989,5.706986111000002,-14.184041600000024,-0.0718954239999999,1
1013,-0.0088999999999999,-6.299999999999998,10.626,-3.043951300000032,0.455128205,1
573,-0.0284,6.5,-0.9103819449999996,4.353347299999996,0.0799999999999999,1
576,0.0091999999999999,1.2999999999999972,-0.294944445,3.220486199999982,-0.182926829,0
250,0.0095,6.0,1.400958334,2.692034700000008,-0.1866666669999999,1
609,0.0374999999999999,1.1999999999999886,-1.0522152779999996,6.26177780000002,0.0652482269999999,1
612,0.0031,-1.3999999999999917,-2.228625,-0.477374999999995,-0.0226449279999999,0
1067,0.0165,-1.0999999999999943,-2.7659722220000003,4.962159699999988,-0.325,0
487,0.0596,11.199999999999989,-0.1702152779999997,7.234055499999997,0.029239767,0
283,-0.0534999999999999,-16.799999999999994,9.295888889,-17.857541700000013,0.3015873020000001,1
446,0.0063,4.700000000000003,1.132909722,-3.337159800000009,0.146070879,1
184,0.0124999999999999,12.699999999999989,-3.744368056,13.71161119999998,-0.0854408739999999,0
221,-0.0169999999999999,-5.900000000000006,1.159090277,-2.1461041999999964,0.1375932839999999,1
964,-0.0242,-11.200000000000005,-3.266805556,-3.2594514000000028,-0.375,1
567,0.0347,9.799999999999995,-0.8709583340000004,4.946597200000014,-0.1771836009999999,0
400,-0.033,-0.3999999999999915,-1.915375,-2.23234029999999,0.0272342669999999,0
955,-0.0149,-5.5,2.785798611,-8.397000000000006,0.033088235,1
677,0.0454999999999999,-5.300000000000012,-0.7266874999999999,-1.7172986000000066,0.0132890359999999,0
128,-0.0545,-4.099999999999993,6.612666667,-11.696749999999994,-0.0124999999999999,1
531,0.0056999999999999,4.599999999999994,2.997479167,1.56461800000001,-0.0061683599999999,1
604,0.0039,7.0,-1.3765972219999998,8.527305599999991,-0.197115385,0
